Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Bmw 318i 2018,"US$17,200","65,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2018-1846957
Volkswagen Touareg 2007,"US$12,000","165,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-touareg-2007-1859563
Jaguar Xj 2017,"US$37,500","67,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jaguar-xj-2017-1858979
Mazda Cx-5 2024,"US$31,000","17,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2024-1860823
Nissan X-Trail E-Power 2024,"US$35,900","6,500km",Automática,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-e-power-2024-1863221
Bmw X3 20i 2015,"US$17,900","77,345km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2015-1856405
Jeep Grand Cherokee Laredo 2019,"US$28,900","60,400km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2019-1863547
Mazda Cx-5 2025,"US$27,800","6,500km",Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2025-1861302
Mercedes Benz Glb 200 2022,"US$45,000","18,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glb-200-2022-1860553
Jeep Compass 2023,"US$22,700","39,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2023-1863431
Peugeot 2008 2023,"US$17,990","28,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/peugeot-2008-2023-1842917
Kia Rio 2013,"US$10,500","90,600km",Automática,Gasolina,https://neoauto.com/auto/usado/kia-rio-2013-1862738
Volkswagen Tiguan 2013,"US$11,000","125,100km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-2013-1856319
Nissan Qashqai 2021,"US$19,000","97,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2021-1857775
Bmw X5 30d 2017,"US$29,900","100,557km",Automática,Diesel,https://neoauto.com/auto/usado/bmw-x5-30d-2017-1861168
Mini John Cooper Works 2025,"US$46,000","3,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mini-john-cooper-works-2025-1856098
Volkswagen Tiguan Allspace 2020,"US$22,500","44,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1863994
Honda Cr-V 2022,"US$28,900","25,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2022-1862008
Bmw 540i 2018,"US$37,000","25,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-540i-2018-1863754
Bmw X3 30i 2018,"US$29,900",92km,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-30i-2018-1817188
Bmw X6 30d 2018,"US$41,500","75,900km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/bmw-x6-30d-2018-1859949
Nissan Pathfinder 2012,"US$15,900","210,000km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/nissan-pathfinder-2012-1837759
Bmw X3 20i 2017,"US$18,500","100,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2017-1857560
Bmw X3 20i 2024,"US$51,000","7,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2024-1844803
